content,score
NICE,5
tidak tanggap dalam mengatasi masalah pengembalian dana. terlebih masalah dengan seller yg red flag dan tidak jelas. sehingga menimbulkan penguluran waktu dan informasi yg tidak jelas juga.,1
"customer care gk fungsi, admin lama, produk di batalkan tidak bisa padahal baru checkout lalu mau ganti karena salah pilih produk, bintang 1 banget",1
"toko bermasalah dibiarkan, pengembalian dana lama, ruwet, lapor tokopedia care juga tidak gercep respon, sangat mengecewakan, tidak seperti platfoam lain yang cepat dalam pengembalian dana refund.",1
good,5
🍜🎉🔥,5
ok ok,5
kok Tokopedia gak ada diadakan game dapat koin kayak disebelah shopy ada koin juga lasada ada koin ya.. sory aku dah gak lagi belanja di Tokopedia ya..krn Tokopedia terlalu pelit gak mau kasih voucher diskon sorry ya 🙏🙏,1
saya akan mencoba nya,4
sangat membantu,5
toped rekomendasi yang gada habisnya..produk original..mudah digunakan..pokoknya mantap..👍👍,5
"kalau bisa jangan belanja di TOKOPEDIA, KURIR pengirimannya asli ASLI LAMA sekali.",1
bagus 👍👍👍,5
sangat membantu anda,5
Kurang 1 fitur yg perlu dihadirkan kembali yaitu hapus chat sehingga riwayat chat tdk menumpuk demi kenyamanan baik pembeli maupun penjual dalam bertransaksi Semoga segera hadir pada update berikutnya,5
pengajuan refund ke toko penipu . tp harus krm balik barang..udh di krm balik ke toko alamat refund aja GK jelas sampai kurir nya taruh ke gudang JNT lagi Krn memang GK ketemu alamat toko nya .harus barangnya smpe k alamat toko Bru BS balik duit gw..sedangkan alamat nya aja GK jelas toko nya. gw komplain di chat tokped mlh GK di respon2 ..ngerugikan konsumen ini mah .udh di krm bukti unboxing ribet nya mnta ampun refund doank..,1
"aplikasi ga jelas !! Online shop sebesar ini ga ada kontak servis nya, semua nya di jawab robot. brng komplain sdh sampai kepenjual tapi di aplikasi masih belum terupdate padahal di aplikasi update nya max 3x24 jam, ini sdh 4x24 jam, aplikasi ga jelas klu urusan komplain, sengaja banget nahan duit orang, kayak toko sebelah dong proses simpel di urusan komplain. logikanya klu barang yg di beli sesuai ga mungkin mau komplain. mohon di pertimbangkan sistem perkomplainannya, biar mudah dan simpel.",1
